Fy [kgf]	 Fx [kgf]
-1433.048525	0.000000
-1289.743673	523.913985
-1146.438820	721.164669
-1003.133968	858.357644
-859.829115	961.552892
-716.524263	1040.911539
-573.219410	1101.597228
-429.914558	1146.578747
-286.609705	1177.656972
-143.304853	1195.916309
0.000000	1201.941114
143.304853	1195.916309
286.609705	1177.656972
429.914558	1146.578747
573.219410	1101.597228
716.524263	1040.911539
859.829115	961.552892
1003.133968	858.357644
1146.438820	721.164669
1289.743673	523.913985
1433.048525	0.000000
